,impath,label,Hmax,Wmax,Attnlabel
0,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_1.png," ""Tiredness""",1410,2155,[ 1  3  5 45 62 71 58 57 67 58 72 72  5  2]
1,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_2.png," ""kills""",1410,2155,[ 1  3  5 64 62 65 65 72  5  2]
2,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_3.png," ""A""",1410,2155,[ 1  3  5 26  5  2]
3,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_4.png," ""short""",1410,2155,[ 1  3  5 72 61 68 71 73  5  2]
4,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_5.png," ""break""",1410,2155,[ 1  3  5 55 71 58 54 64  5  2]
5,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_6.png," ""could""",1410,2155,[ 1  3  5 56 68 74 65 57  5  2]
6,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_7.png," ""save""",1410,2155,[ 1  3  5 72 54 75 58  5  2]
7,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_8.png," ""your""",1410,2155,[ 1  3  5 78 68 74 71  5  2]
8,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_9.png," ""life""",1410,2155,[ 1  3  5 65 62 59 58  5  2]
9,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_10.png," ""8""",1410,2155,[ 1  3  5 21  5  2]
10,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_11.png," ""H""",1410,2155,[ 1  3  5 33  5  2]
11,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_12.png," ""319""",1410,2155,[ 1  3  5 16 14 22  5  2]
12,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_13.png," ""10""",1410,2155,[ 1  3  5 14 13  5  2]
13,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_14.png," ""Royal""",1410,2155,[ 1  3  5 43 68 78 54 65  5  2]
14,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_15.png," ""London""",1410,2155,[ 1  3  5 37 68 67 57 68 67  5  2]
15,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_16.png," ""Saeco""",1410,2155,[ 1  3  5 44 54 58 56 68  5  2]
16,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_17.png," ""R""",1410,2155,[ 1  3  5 43  5  2]
17,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_18.png," ""ENT""",1410,2155,[ 1  3  5 30 39 45  5  2]
18,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_19.png," ""ESC""",1410,2155,[ 1  3  5 30 44 28  5  2]
19,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_20.png," ""Betriebsbereit""",1410,2155,[ 1  3  5 27 58 73 71 62 58 55 72 55 58 71 58 62 73  5  2]
20,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_21.png," ""Produkt""",1410,2155,[ 1  3  5 41 71 68 57 74 64 73  5  2]
21,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_22.png," ""wahlen""",1410,2155,[ 1  3  5 76 54 61 65 58 67  5  2]
22,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_23.png," ""hungry""",1410,2155,[ 1  3  5 61 74 67 60 71 78  5  2]
23,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_24.png," ""[falling""",1410,2155,[ 1  3  5 52 59 54 65 65 62 67 60  5  2]
24,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_25.png," ""on""",1410,2155,[ 1  3  5 68 67  5  2]
25,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_26.png," ""my""",1410,2155,[ 1  3  5 66 78  5  2]
26,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_27.png," ""knees]""",1410,2155,[ 1  3  5 64 67 58 58 72 53  5  2]
27,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_28.png," ""Campus""",1410,2155,[ 1  3  5 28 54 66 69 74 72  5  2]
28,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_29.png," ""Shop""",1410,2155,[ 1  3  5 44 61 68 69  5  2]
29,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_30.png," ""Gt.""",1410,2155,[ 1  3  5 32 73 11  5  2]
30,/media/Archive4TB3/Data/textImages/EN_Benchmarks/IC13/Word Recognition/Challenge2_Test_Task3_Images/word_31.png," ""Yarmouth""",1410,2155,[ 1  3  5 50 54 71 66 68 74 73 61  5  2]
